op_index	op_name	op_type	output_index	type_code	type_bits	dimension_type	shape	elements	finite	min	max	mean	rms
76	BinaryOp93	BinaryOp	0	2	32	1	[2,1024,32]	65536	1	1	6.07601e+37	7.18242e+35	6.5784e+36
77	/input_embed/conv_pos_embed/conv2/conv2.1/Softplus_output_0	UnaryOp	0	2	32	1	[2,1024,32]	65536	1	0	87	2.96456	12.622
78	/input_embed/conv_pos_embed/conv2/conv2.1/Tanh_output_0	UnaryOp	0	2	32	1	[2,1024,32]	65536	1	0	1	0.303743	0.45023
79	/input_embed/conv_pos_embed/conv2/conv2.1/Mul_output_0	BinaryOp	0	2	32	1	[2,1024,32]	65536	1	-0.308844	369.171	3.26421	18.1716
80	/input_embed/Add_output_0_raster_0	Raster	0	2	32	1	[2,32,1024]	65536	1	-0.308844	369.171	3.26421	18.1716
81	/input_embed/Add_output_0_raster_1	Raster	0	2	32	1	[2,32,1024]	65536	1	-0.308844	369.171	3.26421	18.1716
82	/input_embed/Add_output_0	BinaryOp	0	2	32	1	[2,32,1024]	65536	1	-38.587	367.605	3.20318	18.2305
83	/time_embed/time_embed/Mul_output_0_raster_0	Raster	0	2	32	1	[2,1]	2	1	0.5	0.5	0.5	0.5
84	/time_embed/time_embed/Mul_output_0	BinaryOp	0	2	32	1	[2,1]	2	1	500	500	500	500
85	/time_embed/time_embed/Mul_1_output_0_raster_0	Raster	0	2	32	1	[2,128]	256	1	500	500	500	500
86	/time_embed/time_embed/Mul_1_output_0_raster_1	Raster	0	2	32	1	[2,128]	256	1	0.0001	1	0.111668	0.240548
87	/time_embed/time_embed/Mul_1_output_0	BinaryOp	0	2	32	1	[2,128]	256	1	0.05	500	55.8342	120.274
88	/time_embed/time_embed/Sin_output_0	UnaryOp	0	2	32	1	[2,128]	256	1	-0.998164	0.998546	0.155903	0.616672
89	/time_embed/time_embed/Cos_output_0	UnaryOp	0	2	32	1	[2,128]	256	1	-0.999988	0.999958	0.286814	0.78722
90	/time_embed/Cast_output_0_raster_0	Raster	0	2	32	1	[2,256]	512	1	-0.999988	0.999958	0.221359	0.707107
91	/time_embed/Cast_output_0	Cast	0	2	32	1	[2,256]	512	1	-0.999988	0.999958	0.221359	0.707107
92	/time_embed/time_mlp/time_mlp.0/Gemm_output_0	MatMul	0	2	32	1	[2,1024]	2048	1	-17.0648	3.23402	-1.33192	4.11447
93	/time_embed/time_mlp/time_mlp.1/Mul_output_0	UnaryOp	0	2	32	1	[2,1024]	2048	1	-0.278456	3.11143	0.00968502	0.178042
94	/time_embed/time_mlp/time_mlp.2/Gemm_output_0	MatMul	0	2	32	1	[2,1024]	2048	1	-7.12928	0.689978	-0.0912076	0.490708
95	/transformer_blocks.0/attn_norm/silu/Mul_output_0	UnaryOp	0	2	32	1	[2,1024]	2048	1	-0.278463	0.459499	-0.00996925	0.105847
96	/transformer_blocks.0/attn_norm/linear/Gemm_output_0	MatMul	0	2	32	1	[2,6144]	12288	1	-3.92638	3.88629	-0.221268	0.661374
97	/Cast_2_output_0	Cast	0	0	32	1	[2,1,32]	64	NA	NA	NA	NA	NA
98	/Cast_3_output_0_raster_0	Raster	0	0	32	1	[2,1,32]	64	NA	NA	NA	NA	NA
99	/Cast_3_output_0_raster_1	Raster	0	0	32	1	[2,1,32,32]	2048	NA	NA	NA	NA	NA
100	/Cast_3_output_0	Cast	0	0	32	1	[2,1,32,32]	2048	NA	NA	NA	NA	NA
101	BinaryOp214_raster_0	Raster	0	0	32	1	[2,32,1]	64	NA	NA	NA	NA	NA
102	BinaryOp214	BinaryOp	0	0	32	1	[2,32,1]	64	NA	NA	NA	NA	NA
103	/transformer_blocks.0/attn/Not_output_0	UnaryOp	0	0	32	1	[2,32,1]	64	NA	NA	NA	NA	NA
104	/transformer_blocks.0/attn/Cast_11_output_0	Cast	0	0	32	1	[2,32,1]	64	NA	NA	NA	NA	NA
105	/transformer_blocks.0/attn_norm/norm/LayerNormalization_output_0	LayerNorm	0	2	32	1	[2,32,1024]	65536	1	-14.5302	10.4906	7.82693e-10	1
