op_index	op_name	op_type	output_index	type_code	type_bits	dimension_type	shape	elements	finite	min	max	mean	rms
148	/transformer_blocks.0/attn/Where_1_output_0	Select	0	2	32	1	[2,32,1024]	65536	1	-24.2491	24.0524	0.0550327	3.57819
149	/transformer_blocks.0/Mul_output_0_raster_0	Raster	0	2	32	1	[2,1,1024]	2048	1	-2.40042	0.502785	0.00177173	0.182367
150	/transformer_blocks.0/Mul_output_0	While	0	2	32	1	[2,32,1024]	65536	1	-30.2048	14.24	-0.0307509	0.783619
151	/transformer_blocks.0/Add_output_0	BinaryOp	0	2	32	1	[2,32,1024]	65536	1	-47.2	368.044	3.17243	18.1251
152	/transformer_blocks.0/ff_norm/LayerNormalization_output_0	LayerNorm	0	2	32	1	[2,32,1024]	65536	1	-17.2879	10.8075	1.29379e-09	1
153	/transformer_blocks.0/Add_1_output_0_raster_0	Raster	0	2	32	1	[2,1,1024]	2048	1	-3.34771	3.88629	-0.58199	1.05898
154	/transformer_blocks.0/Add_1_output_0	BinaryOp	0	2	32	1	[2,1,1024]	2048	1	-2.34771	4.88629	0.41801	0.978494
155	/transformer_blocks.0/Mul_1_output_0	While	0	2	32	1	[2,32,1024]	65536	1	-8.70923	14.0922	0.0136564	0.850329
156	/transformer_blocks.0/Add_2_output_0_raster_0	Raster	0	2	32	1	[2,1,1024]	2048	1	-1.45827	1.31127	0.00529479	0.157777
157	/transformer_blocks.0/Add_2_output_0	While	0	2	32	1	[2,32,1024]	65536	1	-8.69136	13.7451	0.0189512	0.83432
158	/transformer_blocks.0/ff/ff/ff.0/ff.0.0/Add_output_0	While	0	2	32	1	[2,32,2048]	131072	1	-23.2548	13.8152	-0.979157	3.14788
159	/transformer_blocks.0/ff/ff/ff.0/ff.0.1/Mul_output_0	UnaryOp	0	2	32	1	[2,32,2048]	131072	1	2.83529e-10	540.786	9.90913	23.237
160	/transformer_blocks.0/ff/ff/ff.0/ff.0.1/Mul_1_output_0	BinaryOp	0	2	32	1	[2,32,2048]	131072	1	-12575.9	2636.75	-35.1771	316.564
161	/transformer_blocks.0/ff/ff/ff.0/ff.0.1/Mul_2_output_0	BinaryOp	0	2	32	1	[2,32,2048]	131072	1	-562.33	117.902	-1.57294	14.1552
162	/transformer_blocks.0/ff/ff/ff.0/ff.0.1/Add_output_0	BinaryOp	0	2	32	1	[2,32,2048]	131072	1	-585.585	131.718	-2.5521	16.08
163	/transformer_blocks.0/ff/ff/ff.0/ff.0.1/Mul_3_output_0	BinaryOp	0	2	32	1	[2,32,2048]	131072	1	-467.229	105.095	-2.03628	12.83
164	/transformer_blocks.0/ff/ff/ff.0/ff.0.1/Tanh_output_0	UnaryOp	0	2	32	1	[2,32,2048]	131072	1	-1	1	-0.284348	0.839911
165	/transformer_blocks.0/ff/ff/ff.0/ff.0.1/Add_1_output_0	BinaryOp	0	2	32	1	[2,32,2048]	131072	1	0	2	0.715652	1.06619
166	/transformer_blocks.0/ff/ff/ff.0/ff.0.1/Mul_4_output_0	BinaryOp	0	2	32	1	[2,32,2048]	131072	1	-0.340082	27.6304	1.30596	3.20161
167	/transformer_blocks.0/ff/ff/ff.0/ff.0.1/Mul_5_output_0	BinaryOp	0	2	32	1	[2,32,2048]	131072	1	-0.170041	13.8152	0.652978	1.6008
168	/transformer_blocks.0/ff/ff/ff.2/Add_output_0	While	0	2	32	1	[2,32,1024]	65536	1	-231.312	84.7389	-0.0569808	12.8757
169	/transformer_blocks.0/Mul_2_output_0_raster_0	Raster	0	2	32	1	[2,1,1024]	2048	1	-2.07837	1.73604	-0.00418001	0.1943
170	/transformer_blocks.0/Mul_2_output_0	While	0	2	32	1	[2,32,1024]	65536	1	-401.567	214.916	0.12352	7.57487
171	/transformer_blocks.0/Add_3_output_0	BinaryOp	0	2	32	1	[2,32,1024]	65536	1	-392.604	356.223	3.29595	19.567
172	/transformer_blocks.1/attn_norm/linear/Gemm_output_0	MatMul	0	2	32	1	[2,6144]	12288	1	-4.56606	2.4895	-0.143981	0.526301
173	BinaryOp882_raster_0	Raster	0	0	32	1	[2,32,1]	64	NA	NA	NA	NA	NA
174	BinaryOp882	BinaryOp	0	0	32	1	[2,32,1]	64	NA	NA	NA	NA	NA
175	/transformer_blocks.1/attn/Not_output_0	UnaryOp	0	0	32	1	[2,32,1]	64	NA	NA	NA	NA	NA
176	/transformer_blocks.1/attn/Cast_11_output_0	Cast	0	0	32	1	[2,32,1]	64	NA	NA	NA	NA	NA
